Appointment Year,Semester,Stipend Type,Account,OBJ,School Name,PID,Program Code,Program Name,Work Hours,Fall Offer Amount
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P100542569,MS2517,Biological Sciences,15,5936
2018,FALL,RA,11501-10-1532359-706110,706110,Arts & Sciences,P100820566,PH2517,Biological Sciences,15,7521
2018,FALL,TA,10-100000-250315-0000-72-706110,706110,Arts & Sciences,P100821293,PH2517,Biological Sciences,15,7167
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P100823170,MS2517,Biological Sciences,15,5936
2018,FALL,TA,10-100000-250315-0000-72-706110,706110,Arts & Sciences,P100824149,PH2517,Biological Sciences,15,7167
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P100824721,PH2517,Biological Sciences,15,7521
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P100825131,MS2517,Biological Sciences,15,5936
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P100825315,PH2517,Biological Sciences,15,7521
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P100825999,PH2517,Biological Sciences,15,7521
2018,FALL,RA,12441-13-4100001-706110,706110,Arts & Sciences,P100826126,MS2517,Biological Sciences,15,5936
2018,FALL,RA,11286-17-1130787-706110,706110,Arts & Sciences,P100826329,MS2517,Biological Sciences,15,5936
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P100831819,MS2517,Biological Sciences,15,5936
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P100870153,MS2517,Biological Sciences,15,5936
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P100870214,PH2517,Biological Sciences,15,7521
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P100870437,MS2517,Biological Sciences,15,5936
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P100870647,PH2517,Biological Sciences,15,7521
2018,FALL,RA,11267-10-1132688-706110,706110,Arts & Sciences,P980002943,MS2517,Biological Sciences,15,5936
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P000939802,MS2517,Biological Sciences,15,6012
2019,FALL,RA,15182-19-1334545-706110,706110,Arts & Sciences,P001107695,PH2517,Biological Sciences,15,7621
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100098733,PH2517,Biological Sciences,15,11121
2019,FALL,RA,11103-10-1119195-706110,706110,Arts & Sciences,P100124589,MS2517,Biological Sciences,15,6012
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100130432,MS2517,Biological Sciences,15,6012
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100138818,PH2517,Biological Sciences,15,3810
2019,FALL,TA,10-100000-530375-0000-20-706110,706110,Arts & Sciences,P100138818,PH2517,Biological Sciences,15,3811
2019,FALL,RA,10-100000-250310-0000-20-706110,706110,Arts & Sciences,P100140726,MS2517,Biological Sciences,15,5904
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100164852,MS2517,Biological Sciences,15,6012
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100171580,PH2517,Biological Sciences,15,7621
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100180406,PH2517,Biological Sciences,15,7621
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100214612,PH2517,Biological Sciences,15,7621
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100215255,PH2517,Biological Sciences,15,7621
2019,FALL,RA,12441-13-4100001-706110,706110,Arts & Sciences,P100218034,PH2517,Biological Sciences,15,7323
2019,FALL,RA,11270-10-1132787-706110,706110,Arts & Sciences,P100234804,MS2517,Biological Sciences,15,7621
2019,FALL,TA,10-100000-250310-0000-10-706110,706110,Arts & Sciences,P100246208,PH2517,Biological Sciences,15,7323
2019,FALL,TA,10-100000-250310-0000-10-706110,706110,Arts & Sciences,P100270257,PH2517,Biological Sciences,15,7323
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100542569,MS2517,Biological Sciences,15,8621
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100820566,PH2517,Biological Sciences,15,7621
2019,FALL,TA,10-100000-250310-0000-10-706110,706110,Arts & Sciences,P100821293,PH2517,Biological Sciences,0,7323
2019,FALL,TA,10-100000-250310-0000-10-706110,706110,Arts & Sciences,P100824149,PH2517,Biological Sciences,15,7323
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100824721,PH2517,Biological Sciences,15,7721
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100825315,PH2517,Biological Sciences,15,7621
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100825999,PH2517,Biological Sciences,15,7621
2019,FALL,RA,11643-11-1332692-706110,706110,Arts & Sciences,P100826126,MS2517,Biological Sciences,15,6012
2019,FALL,RA,11286-18-1134429-706110,706110,Arts & Sciences,P100826329,MS2517,Biological Sciences,15,6021
2019,FALL,RA,12441-13-4100001-706110,706110,Arts & Sciences,P100831819,MS2517,Biological Sciences,15,6012
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100870153,MS2517,Biological Sciences,15,6012
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100870214,PH2517,Biological Sciences,15,7621
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100870437,MS2517,Biological Sciences,15,6012
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100870647,PH2517,Biological Sciences,15,7621
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100898027,PH2517,Biological Sciences,15,7621
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100911158,PH2517,Biological Sciences,15,7621
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100912080,PH2517,Biological Sciences,15,7621
2019,FALL,TA,10-100000-250310-0000-10-706110,706110,Arts & Sciences,P100912433,PH2517,Biological Sciences,15,7478
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100912552,MS2517,Biological Sciences,15,6012
2019,FALL,TA,10-100000-250310-0000-10-706110,706110,Arts & Sciences,P100912756,PH2517,Biological Sciences,15,7478
2019,FALL,RA,11270-10-1132787-706110,706110,Arts & Sciences,P100912808,MS2517,Biological Sciences,15,6012
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100912818,PH2517,Biological Sciences,15,7621
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P100912827,MS2517,Biological Sciences,15,6012
2019,FALL,RA,10-100000-250310-0000-20-706110,706110,Arts & Sciences,P100912864,PH2517,Biological Sciences,15,5900
2019,FALL,RA,10-100000-250310-0000-20-706110,706110,Arts & Sciences,P100912970,MS2517,Biological Sciences,15,4000
2019,FALL,RA,12559-20-4100002-706110,706110,Arts & Sciences,P100912973,MS2517,Biological Sciences,15,1503
2019,FALL,RA,15402-19-1134500-706110,706110,Arts & Sciences,P100912973,MS2517,Biological Sciences,15,4509
2019,FALL,RA,11267-10-1132688-706110,706110,Arts & Sciences,P980002943,MS2517,Biological Sciences,15,6012
2019,FALL,TA,10-100000-100070-1277-20-706110,706110,Arts & Sciences,P980006230,PH2517,Biological Sciences,15,7621
2020,FALL,RA,15182-20-1135587-706110,706110,Arts & Sciences,P001107695,PH2517,Biological Sciences,15,7621
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100130432,MS2517,Biological Sciences,15,6012
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100138818,PH2517,Biological Sciences,15,7621
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100171580,PH2517,Biological Sciences,15,7621
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100175233,PH2517,Biological Sciences,15,7621
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100215255,PH2517,Biological Sciences,15,7621
2020,FALL,TA,10-100000-250310-0000-10-706110,706110,Arts & Sciences,P100218034,PH2517,Biological Sciences,15,8181
2020,FALL,RA,11270-10-1132787-706110,706110,Arts & Sciences,P100234804,MS2517,Biological Sciences,15,10122
2020,FALL,TA,10-100000-100070-1307-10-706110,706110,Arts & Sciences,P100234804,MS2517,Biological Sciences,0,
2020,FALL,TA,10-100000-250310-0000-10-706110,706110,Arts & Sciences,P100246208,PH2517,Biological Sciences,15,8181
2020,FALL,TA,10-100000-250310-0000-10-706110,706110,Arts & Sciences,P100270257,PH2517,Biological Sciences,15,8181
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100277127,MS2517,Biological Sciences,15,6012
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100278425,PH2517,Biological Sciences,15,7621
2020,FALL,RA,11628-10-1530409-706110,706110,Arts & Sciences,P100542569,MS2517,Biological Sciences,15,7621
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100676211,MS2517,Biological Sciences,15,6012
2020,FALL,RA,11182-10-1120656-706110,706110,Arts & Sciences,P100821293,PH2517,Biological Sciences,15,7381
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100823524,PH2517,Biological Sciences,15,7621
2020,FALL,RA,12441-13-4100001-706110,706110,Arts & Sciences,P100824149,PH2517,Biological Sciences,15,7621
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100824721,PH2517,Biological Sciences,15,7621
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100825315,PH2517,Biological Sciences,0,7621
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100825999,PH2517,Biological Sciences,15,7621
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100841938,PH2517,Biological Sciences,15,7621
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100870153,MS2517,Biological Sciences,15,7621
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100870214,PH2517,Biological Sciences,15,7621
2020,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100870647,PH2517,Biological Sciences,15,7621
